Serial Number ID,Book State 0 Count,Book State 1 Count,Book State 2 Count,Total Rows
af6f9b69f23f3a0f,0,0,1,1
b05577bc5d077697,0,0,1,1
b07c7fa83455dd4e,105,1,1,107
b3794c3ad67b3dff,115,1,1,117
b6aa565c785fd717,105,1,1,107
b7e4d9f3b6d6570f,105,1,1,107
b883f0ecafc642be,105,1,1,107
ba9c5a463d6fd16c,115,1,1,117
baf604299b6f6cc9,0,0,1,1
be853c5459a0a660,0,0,1,1
c0e3eab0dcca9282,105,1,1,107
c1dd9d9dc475af65,0,0,1,1
c269073417c37273,0,0,1,1
c304c9e0605afb98,0,0,1,1
c3089688e8dc482d,105,1,1,107
c3d02cd3e41a70c3,0,0,1,1
c6445196a3159580,0,0,1,1
c7504bc8c32960df,105,1,1,107
c89a5b10d8d20f74,1,3820,1,3822
c8d2fe4d946ba366,0,0,1,1
ca1dacf74be9d2b6,105,1,1,107
ca23680a56164465,105,1,1,107
cbb8858045239484,115,1,1,117
cc9c19e21a3de9ea,63,1,1,65
ce5c2a77d08f809d,105,1,1,107
d00cca4f962041be,66,42,1,109
d5dc0b88f44fdcae,105,1,1,107
d7f217861a61b6eb,115,1,1,117
d85e109f1883bad7,105,1,1,107
da465af979173057,0,0,1,1
da7529b54b8545d0,0,0,1,1
dad556507967ddf4,0,0,1,1
dd23695c2f264822,0,1910,1,1911
de28d763c96392fe,0,0,1,1
df5bbae955d011b0,105,1,1,107
dfd37e6ec0fc013b,0,0,1,1
e16cbe7b3bf358fc,0,0,1,1
e25fb49283572c67,0,0,1,1
e29911898e03e5a9,105,1,1,107
e3c61f75887c10f4,73,1,1,75
e45e76e45b491762,73,1,1,75
e4dae04194a5c872,0,0,1,1
e509ec7f3f69c4a3,105,1,1,107
e77a15ca68e73bfe,0,0,1,1
e9e6c500361bee95,105,1,1,107
e9f1907526cd5b25,105,1,1,107
ea7eebf20b16d93c,0,0,1,1
ea80f2849d8d269d,0,0,1,1
eb8a386dcc122fbe,0,0,1,1
ee4934e6f1acc862,105,1,1,107
f0d7ea3fe8e27a09,0,0,1,1
f127ef68353c8121,0,0,1,1
f31a84acfa975bce,105,1,1,107
f374d0cf5ffc67d4,0,0,1,1
f3b95f1d0f3abe6b,0,0,1,1
f4bde899e7aef34a,0,0,1,1
f5ae0d718b015e21,0,0,1,1
f6aafc91bff57e19,0,0,1,1
f74d7d74db15f534,0,0,1,1
f904623b6e81af8a,0,0,1,1
f9c3921535147b91,105,1,1,107
fc1ce32704cd3040,63,1,1,65
fc7753aa271248f2,105,1,1,107
fce93e46eb29ff49,105,1,1,107
fceed80b1776e8ef,0,0,1,1
fe82f07f4c3ef7f2,0,0,1,1
